"Event"	"Site"	"Date"	"Round"	"White"	"Black"	"Result"	"WhiteElo"	"BlackElo"	"WhiteTitle"	"BlackTitle"	"WhiteFideId"	"BlackFideId"	"Movetext"
"50330"	"Budapest WFG op"	"Budapest"	"2000.??.??"	"?"	"Dobos, Jozsef"	"Seres, Lajos"	"1/2-1/2"	2335	2440	NA	NA	NA	NA	"d2d4 d7d5 c2c4 c7c6 c4d5 c6d5 b1c3 g8f6 c1f4 b8c6 e2e3 c8f5 d1b3 d8b6 b3b6 a7b6 f1b5 e7e6 f4c7 f6d7 g1e2 f8b4 e1g1 e8e7 f2f3 h8c8 c7g3 f5g6 a2a3 b4d6 g3h4 f7f6 e3e4 d5e4 f3e4 e6e5 h4g3"
"1031283"	"Asturias-ch"	"Oviedo"	"2004.03.27"	"8"	"San Claudio Gonzalez, Francisco Javier"	"Gonzalez Menendez, Ivan"	"1-0"	2280	2260	NA	NA	NA	NA	"e2e4 e7e6 f2f4 d7d5 e4e5 c7c5 g1f3 b8c6 c2c3 g8h6 b1a3 d5d4 f1d3 f8e7 e1g1 a7a6 d3e4 h6f5 g2g4 f5h4 f3h4 e7h4 g4g5 h4g5 f4g5 d8g5 g1h1 g5e5 d2d3 e5c7 d1h5 g7g6 h5c5"
"558888"	"Bad Sooden Allendorf Seniors op 14th"	"Bad Sooden-Allendorf"	"2002.04.30"	"9"	"Falkowski, Wilfried"	"Maximowski, Alexander"	"1-0"	1884	1720	NA	NA	NA	NA	"e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 d7d6 c2c3 g8f6 d2d4 b7b5 a4b3 c8g4 d4d5 c6a5 b3c2 f8e7 b1d2 e8g8 e1g1 a8c8 h2h3 g4h5 a2a4 c7c6 b2b4 a5b7 a4b5 a6b5 d5c6 c8c6 c1b2 d8b8 d2b3 b7d8 d1d3 d8e6 b3a5 c6b6 d3e3 e6f4 f3h4 d6d5 h4f5 f8e8 f5e7 e8e7 a5b3 f6e4 e3b6 f4e2 g1h2 e7b7 b6e3 f7f5 c2e4 f5e4 f1e1 d5d4 e3e4 d4c3 b2c1 e2f4 b3c5 b7a7 c1f4 e5f4 a1a7 b8a7 e4d5"
"684779"	"BEL-chT 0203"	"Belgium"	"2003.02.23"	"9.2"	"Claesen, Jeroen"	"Goormachtigh, Johan"	"1/2-1/2"	2313	2303	NA	NA	NA	NA	"e2e4 c7c5 b1c3 b8c6 g2g3 g7g6 f1g2 f8g7 d2d3 d7d6 f2f4 e7e6 g1f3 g8e7 e1g1 e8g8 c1e3 c6d4 e4e5 c8d7 c3e4 e7f5 e3f2 d4f3 d1f3 d7c6 c2c3 a8c8 f1d1 b7b6 d3d4 c5d4 c3d4 c6d5 f3e2 h7h5 h2h3 d6e5 d4e5 d8e7 d1d2 f8d8 e2e1 d5e4 g2e4 d8d2 e1d2 g7f8 a1d1 e7b4 d2b4 f8b4 g1g2 c8c4 d1d8 g8g7 e4d3 c4c7 d3e4 b4c5 f2c5 c7c5 g2f3 a7a5 d8d7"
"1505618"	"Oberliga Baden 0506"	"Germany"	"2006.01.29"	"6.7"	"Florea, Dan"	"Kick, Joachim"	"1-0"	2297	2202	NA	NA	NA	NA	"d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 e2e3 c8f5 c4d5 c6d5 d1b3 d8c7 f1b5 b8c6 c1d2 e7e6 d2b4 f8d6 b4d6 c7d6 e1g1 e8g8 f1c1 f8c8 b1d2 c8c7 b5c6 a8c8 b3a4 c7c6 c1c6 c8c6 a4a7 d6c7 a7a8 c7c8 a8c8 c6c8 d2b3 f5d3 a1c1 c8c1 b3c1 d3b5 f3e5 g8f8 f2f3 f8e7 g1f2 f6e8 b2b3 f7f6 e5d3 b7b6 a2a4 b5d7 c1a2 e8d6 a2c3 g7g5 e3e4 d5e4 f3e4 d7c6 d4d5 c6b7 f2e3 f6f5 e4e5 f5f4 e3f2 d6f5 d5d6 e7d7 b3b4 h7h5 a4a5 b6a5 d3c5 d7c8 d6d7"
"1400321"	"Canadian op"	"Edmonton"	"2005.07.15"	"8"	"MacFarlane, Donald"	"Greber, Caitlin"	"1-0"	1479	1060	NA	NA	NA	NA	"e2e4 e7e5 f2f4 e5f4 g1f3 g8f6 d2d3 b8c6 c1f4 f8c5 b1c3 d7d5 d3d4 c5b4 e4e5 f6e4 f4d2 e8g8 d1e2 c8f5 e2e3 h7h6 f1d3 f8e8 e1g1 f7f6 f3h4 f6e5 h4f5 e5d4 f5h6 g7h6 e3h6 d4c3 h6g6 g8h8 f1f7 b4c5 g1h1 e4f2 f7f2 d8d7 f2f7 d7f7 g6f7 e8e7 f7h5 h8g8 d2c3 c5b4 h5g6 g8f8 a1f1"
"1144073"	"Poznan op-B"	"Poznan"	"2004.07.19"	"4"	"Woniak, Katarzyna"	"Nawrocki, Przemyslaw"	"0-1"	1997	NA	NA	NA	NA	NA	"d2d4 g8f6 c2c4 g7g6 b1c3 d7d5 g1f3 f8g7 d1b3 d5c4 b3c4 b8c6 c1f4 f6d7 c3b5 e7e5 d4e5 a7a6 e5e6 a6b5 e6d7 c8d7 c4b5 c6d4 b5d3 d4f3 e2f3 e8g8 f1e2 g7b2 a1d1 d7e6 d3d8 f8d8 d1d8 a8d8 e1g1 e6a2 f4c7 d8d2 e2b5 b2d4 h2h3 d2b2 b5d3 b7b5 f3f4 b5b4 c7e5 d4e5 f4e5 b2d2 d3e4 b4b3 f1e1 b3b2 f2f4 a2b3 g1h2 b3c2 e4c2 d2c2 e1b1 g8f8 h2g3 f8e7 g3f3 e7e6 g2g4 e6d5 h3h4 c2c3 f3e2 c3b3 e2d2 d5e4 d2c2 b3b7 b1e1 e4f4 c2b1 f4g4 e5e6 f7e6 e1e6 g4h4"
"431989"	"Intercorp-chT"	"Buenos Aires"	"2001.??.??"	"?"	"Jolodovsky, Alberto"	"Maucci, Luis Marcelo"	"1-0"	2050	NA	NA	NA	NA	NA	"e2e4 c7c5 b1c3 b8c6 g2g3 g7g6 f1g2 f8g7 g1f3 a8b8 e1g1 b7b5 a2a3 e7e6 c3e2 d8b6 d2d3 g8e7 c2c3 e6e5 c1e3 e8g8 d3d4 c5d4 c3d4 e5d4 e2d4 b6d8 d1d2 c8a6 f1d1 c6a5 b2b3 e7c6 a1b1 f8e8 d4c6 a5c6 d2d7 d8d7 d1d7 b8d8 b1d1 d8d7 d1d7 a6c8 d7c7 c6a5"
"1462101"	"SRB-chT 1st League"	"Serbia"	"2005.09.30"	"8.5"	"Andric, Zoran B"	"Milosavljevic, Milisav"	"0-1"	2260	2182	NA	NA	NA	NA	"d2d4 d7d5 c2c4 e7e6 b1c3 c7c5 c4d5 e6d5 g1f3 b8c6 c1f4 g8f6 a1c1 f8e7 d4c5 e7c5 e2e3 e8g8 f1e2 c8e6 e1g1 h7h6 a2a3 f6h5 f4g3 h5g3 h2g3 c5e7 c3b5 d8b6 d1d2 e7f6 f1d1 a8d8 b5d4 e6g4 b2b4 d8c8 c1c5 f6e7 c5b5 b6c7 d1c1 c7d7 d4c6 b7c6 b5a5 g4f3 e2f3 c8c7 d2d3 f8c8 c1d1 d7e6 a5a6 e6e5 d3b3 c8d8 d1d4 c6c5 b4c5 e7c5 d4d5 d8d5 f3d5 c7d7 d5f3 c5b6 a6a4 g7g6 a4e4 e5a1 g1h2 g8g7 e4e8 a1f6 b3b4 h6h5 a3a4 b6c7 e8e4 c7d6 b4d4 d6g3 f2g3 d7d4 e4d4 f6e5 d4e4 e5d6 e4d4 d6a3 d4e4 a3c5 h2g1 g7f8 g1f2 f7f5 e4d4 f8e7 f3e2 c5e5 d4b4 e7f6 b4c4 e5d5 c4d4 d5c5 d4c4 c5e5 c4d4 a7a5 d4c4 e5b2 f2f1 f6g7 c4d4 g7f6 d4c4 f6e5 c4c5 e5e4 f1f2 b2d2 c5c4 e4e5 f2f1 d2a2 e2f3"
"314856"	"AUS-ch U18"	"Canberra"	"2001.01.11"	"1.17"	"Poulton, Chris"	"Viniarski, Alex"	"1-0"	1621	1147	NA	NA	NA	NA	"d2d4 d7d5 c2c4 e7e6 b1c3 g8f6 c4d5 e6d5 c1g5 b8d7 e2e3 f8e7 g1f3 c7c6 f1d3 e8g8 d1c2 f8e8 e1g1 d7f8 a1b1 f8g6 b2b4 a7a6 a2a4 f6e4 g5e7 d8e7 b4b5 a6b5 a4b5 c8g4 f3e1 e4c3 c2c3 g6h4 g1h1 a8c8 b5c6 c8c6 c3b3 e7g5 b3b7 c6h6 b7b8 e8d8 b8f4 g5f4 e3f4 g4f5 d3f5 h4f5 e1f3 f5h4 f3h4 h6h4 g2g3 h4h6 f1c1 h6e6 c1c7 g8f8 b1b7 e6f6 h1g2 d8e8 c7d7 f6f5 b7b5 e8e1 g2f3 f8e8 d7a7 e8f8 g3g4 f5f6 b5d5 e1e7 d5d8 e7e8 d8d7 h7h6 d4d5 e8e1 a7a8 e1e8 a8a7 e8e1 d5d6 f8e8 d7c7 f6d6 c7f7 d6d3 f3g2 e1e2 f7g7 e8f8 g7h7 f8g8 h7c7"
